Alpha-3,Country
AUS,Australia
AUT,Austria
BEL,Belgium
BRA,Brazil
CAN,Canada
CHE,Switzerland
CHL,Chile
COL,Colombia
CRI,Costa Rica
CZE,Czechia
DEU,Germany
DNK,Denmark
ESP,Spain
EST,Estonia
FIN,Finland
FRA,France
GBR,Great Britain 
GRC,Greece
HUN,Hungary
IRL,Ireland
ISL,Iceland
ISR,Israel
ITA,Italy
JPN,Japan
KOR,Korea (the Republic of)
LTU,Lithuania
LUX,Luxembourg
LVA,Latvia
MEX,Mexico
NLD,Netherlands (the)
NOR,Norway
NZL,New Zealand
PRT,Portugal
RUS,Russian Federation (the)
SVK,Slovakia
SVN,Slovenia
SWE,Sweden
USA,United States of America (the)
ZAF,South Africa
